instruct,answer,Conditions,Offers
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 374, Category: General Use, Price: 137484 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Acer laptop with 8GB RAM and 1TB SSD.,"Name: Acer ExpertBook 375, Category: General Use, Price: 103212 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 1TB SSD",Brand New,Free Backpack
Suggest a Apple laptop with 12GB RAM and 256GB SSD.,"Name: Apple ExpertBook 376, Category: General Use, Price: 104481 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Laptop Bag
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 377, Category: General Use, Price: 119439 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Up to 5% Discount
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 378, Category: General Use, Price: 119333 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Delivery
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 379, Category: General Use, Price: 63424 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Mouse Pad
Suggest a ASUS laptop with 16GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 380, Category: General Use, Price: 130885 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 381, Category: General Use, Price: 89042 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Brand New,Student Discount Available
Suggest a LG laptop with 4GB RAM and 512GB SSD.,"Name: LG ExpertBook 382, Category: General Use, Price: 98358 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a LG laptop with 12GB RAM and 512GB SSD.,"Name: LG ExpertBook 383, Category: General Use, Price: 113286 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 384, Category: General Use, Price: 117753 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,EMI available (6 months)
Suggest a Apple laptop with 12GB RAM and 256GB SSD.,"Name: Apple ExpertBook 385, Category: General Use, Price: 64193 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Free Mouse Pad
Suggest a HP laptop with 4GB RAM and 512GB SSD.,"Name: HP ExpertBook 386, Category: General Use, Price: 66478 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,Free Travel Pouch
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 387, Category: General Use, Price: 63667 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,Discount ৳1500
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 388, Category: General Use, Price: 95245 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 389, Category: General Use, Price: 108917 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Dell laptop with 8GB RAM and 128GB SSD.,"Name: Dell ExpertBook 390, Category: General Use, Price: 103115 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Mouse Pad
Suggest a HP laptop with 16GB RAM and 512GB SSD.,"Name: HP ExpertBook 391, Category: General Use, Price: 67839 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Battery Replacement Support
Suggest a ASUS laptop with 4GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 392, Category: General Use, Price: 148005 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a ASUS laptop with 16GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 393, Category: General Use, Price: 47320 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a LG laptop with 8GB RAM and 256GB SSD.,"Name: LG ExpertBook 394, Category: General Use, Price: 144351 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,No discount
Suggest a LG laptop with 16GB RAM and 512GB SSD.,"Name: LG ExpertBook 395, Category: General Use, Price: 61016 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 512GB SSD",Brand New,No discount
Suggest a Dell laptop with 4GB RAM and 512GB SSD.,"Name: Dell ExpertBook 396, Category: General Use, Price: 67439 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,EMI available (6 months)
Suggest a Apple laptop with 12GB RAM and 512GB SSD.,"Name: Apple ExpertBook 397, Category: General Use, Price: 85446 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Discount ৳1500
Suggest a Dell laptop with 4GB RAM and 128GB SSD.,"Name: Dell ExpertBook 398, Category: General Use, Price: 91543 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,Free Gaming Mouse
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 399, Category: General Use, Price: 118658 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 4GB RAM and 256GB SSD.,"Name: MSI ExpertBook 400, Category: General Use, Price: 148738 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Gaming Mouse
Suggest a LG laptop with 16GB RAM and 512GB SSD.,"Name: LG ExpertBook 401, Category: General Use, Price: 111310 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Mouse Pad
Suggest a Dell laptop with 4GB RAM and 512GB SSD.,"Name: Dell ExpertBook 402, Category: General Use, Price: 129454 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳18,000 discount"
Suggest a Lenovo laptop with 16GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 403, Category: General Use, Price: 78764 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Brand New,Free Gaming Mouse
Suggest a MSI laptop with 16GB RAM and 512GB SSD.,"Name: MSI ExpertBook 404, Category: General Use, Price: 148137 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Free Laptop Bag
Suggest a ASUS laptop with 4GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 405, Category: General Use, Price: 74058 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Pre-Owned,Free Laptop Bag
Suggest a Apple laptop with 16GB RAM and 1TB SSD.,"Name: Apple ExpertBook 406, Category: General Use, Price: 140836 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Battery Replacement Support
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 407, Category: General Use, Price: 118382 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Brand New,Free Backpack
Suggest a Apple laptop with 8GB RAM and 256GB SSD.,"Name: Apple ExpertBook 408, Category: General Use, Price: 126814 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 409, Category: General Use, Price: 73587 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Battery Replacement Support
Suggest a MSI laptop with 8GB RAM and 512GB SSD.,"Name: MSI ExpertBook 410, Category: General Use, Price: 116548 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 411, Category: General Use, Price: 80129 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Apple laptop with 12GB RAM and 1TB SSD.,"Name: Apple ExpertBook 412, Category: General Use, Price: 74373 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,0% EMI on selected cards
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 413, Category: General Use, Price: 133021 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Battery Replacement Support
Suggest a MSI laptop with 12GB RAM and 512GB SSD.,"Name: MSI ExpertBook 414, Category: General Use, Price: 120748 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,No discount
Suggest a Apple laptop with 8GB RAM and 512GB SSD.,"Name: Apple ExpertBook 415, Category: General Use, Price: 105713 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,Battery Replacement Support
Suggest a MSI laptop with 8GB RAM and 128GB SSD.,"Name: MSI ExpertBook 416, Category: General Use, Price: 57875 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Free Travel Pouch
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 417, Category: General Use, Price: 103803 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a MSI laptop with 4GB RAM and 512GB SSD.,"Name: MSI ExpertBook 418, Category: General Use, Price: 67566 BDT, Color: Black, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,No discount
Suggest a Lenovo laptop with 4GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 419, Category: General Use, Price: 68233 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Delivery
Suggest a Dell laptop with 4GB RAM and 512GB SSD.,"Name: Dell ExpertBook 420, Category: General Use, Price: 56887 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 512GB SSD",Brand New,No discount
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 421, Category: General Use, Price: 56330 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Backpack
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 422, Category: General Use, Price: 61762 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Travel Pouch
Suggest a Apple laptop with 4GB RAM and 256GB SSD.,"Name: Apple ExpertBook 423, Category: General Use, Price: 98386 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,EMI available (6 months)
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 424, Category: General Use, Price: 110624 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 425, Category: General Use, Price: 86457 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 426, Category: General Use, Price: 91621 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Brand New,Discount ৳1500
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 427, Category: General Use, Price: 91838 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Travel Pouch
Suggest a Dell laptop with 8GB RAM and 256GB SSD.,"Name: Dell ExpertBook 428, Category: General Use, Price: 45126 BDT, Color: Gray, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,No discount
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 429, Category: General Use, Price: 81987 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Travel Pouch
Suggest a ASUS laptop with 12GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 430, Category: General Use, Price: 126070 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Brand New,Battery Replacement Support
Suggest a Acer laptop with 8GB RAM and 256GB SSD.,"Name: Acer ExpertBook 431, Category: General Use, Price: 107343 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 16GB RAM and 128GB SSD.,"Name: Acer ExpertBook 432, Category: General Use, Price: 54293 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Apple laptop with 8GB RAM and 512GB SSD.,"Name: Apple ExpertBook 433, Category: General Use, Price: 89787 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a Lenovo laptop with 16GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 434, Category: General Use, Price: 94159 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,Discount ৳1500
Suggest a HP laptop with 16GB RAM and 256GB SSD.,"Name: HP ExpertBook 435, Category: General Use, Price: 74820 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,Free Gaming Mouse
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 436, Category: General Use, Price: 45391 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a ASUS laptop with 16GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 437, Category: General Use, Price: 96049 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,No discount
Suggest a Lenovo laptop with 4GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 438, Category: General Use, Price: 47099 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,Up to 5% Discount
Suggest a LG laptop with 4GB RAM and 1TB SSD.,"Name: LG ExpertBook 439, Category: General Use, Price: 77850 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a Lenovo laptop with 12GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 440, Category: General Use, Price: 127435 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Brand New,Battery Replacement Support
Suggest a Apple laptop with 12GB RAM and 512GB SSD.,"Name: Apple ExpertBook 441, Category: General Use, Price: 93205 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Dell laptop with 12GB RAM and 1TB SSD.,"Name: Dell ExpertBook 442, Category: General Use, Price: 89588 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Laptop Bag
Suggest a HP laptop with 16GB RAM and 128GB SSD.,"Name: HP ExpertBook 443, Category: General Use, Price: 79255 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 128GB SSD",Brand New,Student Discount Available
Suggest a HP laptop with 4GB RAM and 1TB SSD.,"Name: HP ExpertBook 444, Category: General Use, Price: 115273 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a LG laptop with 16GB RAM and 1TB SSD.,"Name: LG ExpertBook 445, Category: General Use, Price: 138255 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Travel Pouch
Suggest a Lenovo laptop with 12GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 446, Category: General Use, Price: 105813 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Brand New,Free Mouse Pad
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 447, Category: General Use, Price: 126999 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 128GB SSD",Brand New,Free Mouse Pad
